,Unnamed: 0,Unnamed: 0.1,Timestamp,Open,High,Low,Close,Volume,24m Volume RA,24m Close Price RA
539,539,2019-01-18 19:30:00+00:00,2019-01-18 19:30:00+00:00,6.091e-05,6.148e-05,6.088e-05,6.134e-05,90,79.75,6.13745833333333e-05
540,540,2019-01-18 19:31:00+00:00,2019-01-18 19:31:00+00:00,6.136e-05,6.165e-05,6.12e-05,6.144e-05,56,76.79166666666667,6.13433333333333e-05
541,541,2019-01-18 19:32:00+00:00,2019-01-18 19:32:00+00:00,6.144e-05,6.166e-05,6.12e-05,6.156e-05,68,76.25,6.132749999999997e-05
542,542,2019-01-18 19:33:00+00:00,2019-01-18 19:33:00+00:00,6.139e-05,6.155e-05,6.118e-05,6.142e-05,50,75.95833333333333,6.131041666666664e-05
543,543,2019-01-18 19:34:00+00:00,2019-01-18 19:34:00+00:00,6.142e-05,6.154e-05,6.109e-05,6.14e-05,58,75.04166666666667,6.127624999999998e-05
544,544,2019-01-18 19:35:00+00:00,2019-01-18 19:35:00+00:00,6.14e-05,6.165e-05,6.131e-05,6.165e-05,58,74.66666666666667,6.125291666666662e-05
545,545,2019-01-18 19:36:00+00:00,2019-01-18 19:36:00+00:00,6.164e-05,6.3e-05,6.164e-05,6.263e-05,286,83.45833333333333,6.127624999999996e-05
546,546,2019-01-18 19:37:00+00:00,2019-01-18 19:37:00+00:00,6.261e-05,6.288e-05,6.215e-05,6.238e-05,138,86.875,6.129499999999996e-05
547,547,2019-01-18 19:38:00+00:00,2019-01-18 19:38:00+00:00,6.24e-05,6.273e-05,6.208e-05,6.245e-05,123,87.875,6.132999999999997e-05
548,548,2019-01-18 19:39:00+00:00,2019-01-18 19:39:00+00:00,6.25e-05,6.255e-05,6.224e-05,6.253e-05,90,83.58333333333333,6.138916666666664e-05
549,549,2019-01-18 19:40:00+00:00,2019-01-18 19:40:00+00:00,6.248e-05,6.38e-05,6.23e-05,6.374e-05,308,91.29166666666669,6.15033333333333e-05
550,550,2019-01-18 19:41:00+00:00,2019-01-18 19:41:00+00:00,6.373e-05,6.379e-05,6.292e-05,6.302e-05,141,92.16666666666669,6.15995833333333e-05
551,551,2019-01-18 19:42:00+00:00,2019-01-18 19:42:00+00:00,6.324e-05,6.341e-05,6.301e-05,6.329e-05,79,91.5,6.170541666666663e-05
552,552,2019-01-18 19:43:00+00:00,2019-01-18 19:43:00+00:00,6.331e-05,6.500000000000001e-05,6.329e-05,6.48e-05,313,101.0,6.186291666666663e-05
